Unnamed: 0,Neighborhood,ExterCond_score,Exter_Cond,OverallCond_score,Overall_Cond,Paved_Drive,Fence,cluster,Sale_Price,Longitude,Latitude,Bedroom_AbvGr,TotRms_AbvGrd,Gr_Liv_Area,Garage_Cars,Year_Remod_Add,norm_Bedroom_AbvGr,norm_TotRms_AbvGrd,norm_Gr_Liv_Area,norm_Garage_Cars,norm_Year_Remod_Add,total
1,North_Ames,0.6,Typical,0.4,Average,Partial_Pavement,No_Fence,-1,215000,-93.619754,42.054035,3,7,1656,2,1960,0.375,0.3846153846153847,0.2490580256217031,0.4,0.1666666666666643,2.575340076903752
2,North_Ames,0.6,Typical,0.5,Above_Average,Paved,Minimum_Privacy,-1,105000,-93.619756,42.053014,2,5,896,1,1961,0.25,0.23076923076923078,0.10587792012057273,0.2,0.18333333333333002,2.0699804842231337
3,North_Ames,0.6,Typical,0.5,Above_Average,Paved,No_Fence,-1,172000,-93.6193873,42.052659,3,6,1329,1,1958,0.375,0.3076923076923077,0.18745290128108516,0.2,0.13333333333333286,2.303478542306726
4,North_Ames,0.6,Typical,0.4,Average,Paved,No_Fence,-1,244000,-93.61732,42.051245,3,8,2110,2,1968,0.375,0.46153846153846156,0.33458929917106256,0.4,0.29999999999999716,2.871127760709521
5,Gilbert,0.6,Typical,0.4,Average,Paved,Minimum_Privacy,-1,189900,-93.638933,42.060899,3,6,1629,2,1998,0.375,0.3076923076923077,0.2439713639788998,0.4,0.7999999999999972,3.1266636716712046
6,Gilbert,0.6,Typical,0.5,Above_Average,Paved,No_Fence,-1,195500,-93.638925,42.060779,3,7,1604,2,1998,0.375,0.3846153846153847,0.2392614920874152,0.4,0.7999999999999972,3.298876876702797
7,Stone_Brook,0.6,Typical,0.4,Average,Paved,No_Fence,-1,213500,-93.633792,42.062978,2,6,1338,2,2001,0.25,0.3076923076923077,0.1891484551620196,0.4,0.8500000000000014,2.9968407628543288
8,Stone_Brook,0.6,Typical,0.4,Average,Paved,No_Fence,-1,191500,-93.633826,42.060728,2,5,1280,2,1992,0.25,0.23076923076923078,0.17822155237377543,0.4,0.7000000000000028,2.758990783143009
9,Stone_Brook,0.6,Typical,0.4,Average,Paved,No_Fence,-1,236500,-93.632852,42.06112,2,5,1616,2,1996,0.25,0.23076923076923078,0.2415222305953278,0.4,0.7666666666666657,2.8889581280312244
10,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,189000,-93.639068,42.059193,3,7,1804,2,1999,0.375,0.3846153846153847,0.2769404672192916,0.4,0.8166666666666629,3.2532225185013393
11,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,175900,-93.636947,42.05848,3,7,1655,2,1994,0.375,0.3846153846153847,0.24886963074604374,0.4,0.7333333333333343,3.1418183486947626
12,Gilbert,0.8,Good,0.6,Good,Paved,Good_Privacy,-1,185000,-93.635951,42.057419,3,6,1187,2,2007,0.375,0.3076923076923077,0.1607008289374529,0.4,0.9500000000000028,3.5933931366297633
13,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,180400,-93.638647,42.058151,3,7,1465,2,1998,0.375,0.3846153846153847,0.2130746043707611,0.4,0.7999999999999972,3.172689988986143
14,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,171500,-93.634626,42.057268,2,5,1341,2,1990,0.25,0.23076923076923078,0.18971363978899775,0.4,0.6666666666666643,2.7371495372248926
15,Stone_Brook,0.6,Typical,0.4,Average,Paved,No_Fence,-1,212000,-93.632913,42.059169,1,4,1502,2,1985,0.125,0.15384615384615385,0.22004521477015826,0.4,0.5833333333333357,2.4822247019496477
16,Stone_Brook,0.6,Typical,0.4,Average,Paved,No_Fence,-1,538000,-93.62655,42.061239,4,12,3279,3,2003,0.5,0.7692307692307693,0.5548229088168801,0.6000000000000001,0.8833333333333329,4.307387011380983
17,Gilbert,0.6,Typical,0.6,Good,Paved,No_Fence,-1,164000,-93.6235954,42.0603514,4,8,1752,2,2005,0.5,0.46153846153846156,0.2671439336850038,0.4,0.9166666666666643,3.7453490618901295
18,Stone_Brook,0.6,Typical,0.1,Poor,Paved,No_Fence,-1,394432,-93.628804,42.05885,1,8,1856,3,2010,0.125,0.46153846153846156,0.2867370007535795,0.6000000000000001,1.0,3.173275462292041
19,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,141000,-93.622971,42.056673,2,4,864,2,1951,0.25,0.15384615384615385,0.0998492840994725,0.4,0.01666666666666572,1.920362104612292
20,Northwest_Ames,0.6,Typical,0.5,Above_Average,Paved,Minimum_Privacy,-1,210000,-93.636655,42.054453,3,7,2073,2,1988,0.375,0.3846153846153847,0.3276186887716654,0.4,0.6333333333333329,3.220567406720383
21,Northwest_Ames,0.6,Typical,0.5,Above_Average,Paved,Minimum_Privacy,0,190000,-93.633962,42.050346,3,7,1844,2,1977,0.375,0.3846153846153847,0.2844762622456669,0.4,0.45000000000000284,2.9940916468610546
22,Northwest_Ames,0.6,Typical,0.5,Above_Average,Paved,Minimum_Privacy,-1,170000,-93.636372,42.05027,3,6,1173,2,1974,0.375,0.3076923076923077,0.15806330067822155,0.4,0.3999999999999986,2.740755608370528
23,Somerset,0.6,Typical,0.4,Average,Paved,No_Fence,-1,216000,-93.639366,42.049297,3,7,1674,2,2000,0.375,0.3846153846153847,0.25244913338357194,0.4,0.8333333333333357,3.2453978513322923
24,North_Ames,0.6,Typical,0.6,Good,Paved,No_Fence,-1,149000,-93.626231,42.055147,2,5,1004,2,1970,0.25,0.23076923076923078,0.12622456669178597,0.4,0.3333333333333357,2.5403271307943522
25,North_Ames,0.6,Typical,0.5,Above_Average,Paved,No_Fence,-1,149900,-93.626537,42.054592,3,6,1078,2,2008,0.375,0.3076923076923077,0.14016578749058026,0.4,0.9666666666666686,3.2895247618495564
26,North_Ames,0.6,Typical,0.5,Above_Average,Paved,No_Fence,-1,142000,-93.628806,42.055227,3,6,1056,1,1968,0.375,0.3076923076923077,0.13602110022607386,0.2,0.29999999999999716,2.4187134079183785
27,North_Ames,0.6,Typical,0.4,Average,Paved,Minimum_Privacy,-1,126000,-93.627112,42.053395,2,4,882,2,1970,0.25,0.15384615384615385,0.10324039186134137,0.4,0.3333333333333357,2.240419879040831
28,North_Ames,0.6,Typical,0.4,Average,Paved,No_Fence,-1,115000,-93.622769,42.056375,3,5,864,0,1971,0.375,0.23076923076923078,0.0998492840994725,0.0,0.3500000000000014,2.0556185148687045
29,North_Ames,0.6,Typical,0.4,Average,Paved,No_Fence,-1,184000,-93.624373,42.055318,2,5,1337,2,1999,0.25,0.23076923076923078,0.1889600602863602,0.4,0.8166666666666629,2.8863959577222538
30,Briardale,0.6,Typical,0.4,Average,Paved,No_Fence,0,96000,-93.627271,42.051835,2,5,987,1,1971,0.25,0.23076923076923078,0.12302185380557648,0.2,0.3500000000000014,2.1537910845748085
31,Briardale,0.6,Typical,0.4,Average,Paved,No_Fence,0,105500,-93.627536,42.051684,3,6,1092,1,1971,0.375,0.3076923076923077,0.14280331574981162,0.2,0.3500000000000014,2.375495623442121
32,Briardale,0.6,Typical,0.4,Average,Paved,No_Fence,0,88000,-93.62728,42.051685,3,6,1092,1,1971,0.375,0.3076923076923077,0.14280331574981162,0.2,0.3500000000000014,2.375495623442121
33,Northpark_Villa,0.6,Typical,0.4,Average,Paved,No_Fence,0,127500,-93.627232,42.049672,2,4,1069,2,1977,0.25,0.15384615384615385,0.1384702336096458,0.4,0.45000000000000284,2.3923163874558027
34,Northpark_Villa,0.6,Typical,0.5,Above_Average,Paved,No_Fence,0,149900,-93.625924,42.050683,3,6,1456,2,1975,0.375,0.3076923076923077,0.2113790504898267,0.4,0.4166666666666643,2.8107380248487988
35,Northpark_Villa,0.6,Typical,0.5,Above_Average,Paved,No_Fence,0,120000,-93.625966,42.050681,2,4,836,1,1975,0.25,0.15384615384615385,0.0945742275810098,0.2,0.4166666666666643,2.215087048093828
36,Northpark_Villa,0.6,Typical,0.4,Average,Paved,No_Fence,0,146000,-93.625848,42.049811,3,7,1456,2,1978,0.375,0.3846153846153847,0.2113790504898267,0.4,0.46666666666666856,2.83766110177188
37,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,376162,-93.653201,42.062352,3,10,2334,3,2010,0.375,0.6153846153846154,0.37678975131876413,0.6000000000000001,1.0,3.9671743667033796
38,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,306000,-93.654645,42.062109,3,7,1704,3,2008,0.375,0.3846153846153847,0.25810097965335344,0.6000000000000001,0.9666666666666686,3.584383030935407
39,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,395192,-93.6537329,42.0611331,3,8,1940,3,2010,0.375,0.46153846153846156,0.3025621703089676,0.6000000000000001,1.0,3.739100631847429
40,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,290941,-93.6528306,42.0612885,3,7,1544,3,2010,0.375,0.3846153846153847,0.22795779954785228,0.6000000000000001,1.0,3.587573184163237
41,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,220000,-93.652713,42.060872,3,7,1541,2,2005,0.375,0.3846153846153847,0.22739261492087415,0.4,0.9166666666666643,3.303674666202923
42,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,275000,-93.65332,42.0608079,3,7,1698,3,2005,0.375,0.3846153846153847,0.2569706103993971,0.6000000000000001,0.9166666666666643,3.533252661681446
43,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,259000,-93.652336,42.060879,3,8,1822,3,2006,0.375,0.46153846153846156,0.2803315749811605,0.6000000000000001,0.93333333333333,3.650203369852952
44,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,214000,-93.652307,42.060298,3,7,1535,2,2004,0.375,0.3846153846153847,0.22626224566691788,0.4,0.8999999999999986,3.285877630282301
45,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,611657,-93.655051,42.059617,2,11,2364,3,2010,0.25,0.6923076923076924,0.38244159758854557,0.6000000000000001,1.0,3.924749289896238
46,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,224000,-93.650436,42.058388,2,6,1358,2,2010,0.25,0.3076923076923077,0.19291635267520724,0.4,1.0,3.150608660367515
47,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,500000,-93.656067,42.058599,3,10,2696,3,2004,0.375,0.6153846153846154,0.44498869630746046,0.6000000000000001,0.8999999999999986,3.9353733116920746
48,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,320000,-93.654853,42.057102,3,7,2250,3,2002,0.375,0.3846153846153847,0.36096458176337604,0.6000000000000001,0.8666666666666671,3.587246633045428
49,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,319900,-93.654121,42.057164,2,6,1752,2,2005,0.25,0.3076923076923077,0.2671439336850038,0.4,0.9166666666666643,3.141502908043976
50,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,205000,-93.649447,42.058252,2,6,1370,2,2006,0.25,0.3076923076923077,0.19517709118311982,0.4,0.93333333333333,3.0862027322087577
51,Northridge_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,175500,-93.651013,42.057181,2,6,1626,2,2003,0.25,0.3076923076923077,0.2434061793519216,0.4,0.8833333333333329,3.0844318203775623
52,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,199500,-93.644356,42.061928,3,6,1324,2,2005,0.375,0.3076923076923077,0.18651092690278825,0.4,0.9166666666666643,3.18586990126176
53,Bloomington_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,160000,-93.641635,42.06257,2,6,1145,2,2006,0.25,0.3076923076923077,0.15278824415975886,0.4,0.93333333333333,3.0438138851853966
54,Bloomington_Heights,0.6,Typical,0.4,Average,Paved,No_Fence,-1,192000,-93.642252,42.062303,2,6,1269,2,2005,0.25,0.3076923076923077,0.17614920874152223,0.4,0.9166666666666643,3.050508183100494
55,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,184500,-93.644076,42.061443,3,7,1374,2,2004,0.375,0.3846153846153847,0.19593067068575737,0.4,0.8999999999999986,3.255546055301141
56,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,216500,-93.641487,42.060977,4,8,1960,2,2002,0.5,0.46153846153846156,0.3063300678221552,0.4,0.8666666666666671,3.534535196027284
57,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,185088,-93.642447,42.061193,3,7,1733,2,2004,0.375,0.3846153846153847,0.2635644310474755,0.4,0.8999999999999986,3.3231798156628587
58,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,180000,-93.641325,42.060936,3,7,1430,2,2000,0.375,0.3846153846153847,0.20648078372268275,0.4,0.8333333333333357,3.1994295016714034
59,Gilbert,0.6,Typical,0.4,Average,Paved,No_Fence,-1,222500,-93.641337,42.057103,3,8,2035,2,2001,0.375,0.46153846153846156,0.3204596834966089,0.4,0.8500000000000014,3.4069981450350717
60,Northridge,0.6,Typical,0.4,Average,Paved,No_Fence,-1,333168,-93.651381,42.054386,4,10,2599,3,1999,0.5,0.6153846153846154,0.42671439336850037,0.6000000000000001,0.8166666666666629,3.958765675419779
61,Northridge,0.6,Typical,0.4,Average,Paved,No_Fence,-1,355000,-93.652334,42.053243,4,7,2475,3,1998,0.5,0.3846153846153847,0.403353428786737,0.6000000000000001,0.7999999999999972,3.687968813402119
62,Northridge,0.6,Typical,0.4,Average,Paved,No_Fence,-1,260400,-93.654206,42.051721,3,7,1720,2,1996,0.375,0.3846153846153847,0.26111529766390357,0.4,0.7666666666666657,3.187397348945954
